pathway	E1	E2	E3	E4	E5	NS1	NS2	NS3	NS4	NS5	NS6	QS1	QS2	QS3	QS4	QS5	QS6	QS7	QS8	S1	S10	S11	S12	S13	S14	S2	S3	S4	S5	S6	S7	S8	S9
ASPASN-PWY	5092.855164532197	1737.0092516142604	2638.111412250304	2768.49814544614	3725.400332834994	1194.917814515427	1679.170938369782	863.660711003906	1139.0078405430731	1203.554263076628	316.8822463209044	1832.2620962960043	1609.5788427807524	1514.36128621986	981.7061917024691	2354.361641101985	461.89301411314216	1026.5492275936472	1559.2291530655984	3895.7466179568924	2621.3787748625396	3647.4454035350486	3428.4229888700693	2263.4895660257075	3203.539084986271	1768.3360478372185	901.8691340984402	3453.3469455560876	3195.911351025731	3162.060775462702	3094.4397034494614	1486.640568894173	2243.516788848734
AST-PWY	95.01585089833041	0.0	2.957142857142857	1.5228969854371976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	35.8778804703522	0.0	37.118068956045136	26.731061406732405	22.157355027620973	24.792462572190143	19.971694011430888	7.058823529411765	44.03476933395814	0.0	27.311890306296476	131.03867992186863	42.96665518021949	28.46694111539549	33.808549422164816	21.234309096674686
BRANCHED-CHAIN-AA-SYN-PWY	11166.204508319039	11537.931506346553	5951.662902669955	5745.819276628998	8181.01330274885	17419.03851437033	15642.494686180777	8482.69678610898	8831.68670145289	14358.505142768649	6219.15801778534	17967.973026657703	10647.005439915032	13932.32255540124	9747.513966284332	5422.2451807324815	4463.753054603995	9418.649081720532	6754.718611198492	8647.131736544054	5903.944331513952	9108.147097015733	7192.093099116837	5391.662673606077	12780.27520785149	6828.356533987511	2294.4492291915167	7750.478072502425	7506.121216652184	12317.202641749374	6589.4687067973155	4326.328620145203	4552.649856457614
CALVIN-PWY	9841.503365182143	4754.103274208676	6014.855410647321	7256.782673897411	7635.987005789345	17483.419700413422	19867.251940577065	11567.84716163105	11718.767533227254	16300.833602208015	6394.834792826922	21545.57079914452	11754.784656793883	16966.71048412488	10843.275850713693	5245.803419876692	5797.995472041391	11340.746247971125	5775.863333559235	8376.059236696694	6039.361110506121	6744.196086174036	7592.834089907793	5722.76117278453	8252.686870700034	7987.1620878872545	2655.426284819134	8058.591628729951	8077.155759997366	7241.789203554964	6962.292522095081	5172.358763746901	4453.578709702741
CARNMET-PWY	57.48856637291492	32.0	140.29950083194674	60.84608798486283	34.0	0.0	0.0	0.0	0.0	0.0	21.66	67.67	410.5	52.53506066757943	0.0	0.0	0.0	18.76915063435841	6.0	4.037250815305568	15.918697231746139	0.0	66.286323070747	5.894197018972382	8.615357436318815	18.111429152089414	0.0	1.285983239300612	2.605646232758361	2.5143586942175697	14.76893349383151	1.653910781983015	1.2642780898684938
CATECHOL-ORTHO-CLEAVAGE-PWY	130.6146891105931	0.0	2.2012262410243864	6.6226094350724765	0.0	0.0	0.0	19.987021414665804	0.0	0.0	0.0	0.0	0.0	1.3257787719404308	0.0	0.0	0.0	101.33067289487741	0.0	62.731873577935666	79.33087287551473	18.540738534750133	39.7444174655099	25.371840497223317	0.0	76.62584405496487	0.0	31.237538371583103	380.8380396806578	55.09313177691316	58.0109676359659	64.74814965352019	24.827770548119403
CHLOROPHYLL-SYN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.920888121922674	0.0	0.0	0.0	0.0	8.78855366317166	0.0	0.0
CITRULBIO-PWY	1239.3883955151764	209.4215585354528	155.3527376294123	217.20616928094816	504.57621499571786	3828.280071096503	4236.266338841179	1824.898911504587	145.40555009697843	6467.857294391304	3987.626990091018	7907.047615706292	5279.761990651493	4323.9103015439505	5354.235588278257	1294.9769378761564	1172.5302166267065	2923.7605153889754	3871.0021278182144	357.98447244096667	375.72178363102427	247.8077503797892	163.36775705032	298.6901496900847	1119.846488441875	657.1905080760449	81.82659601383506	755.1205071990473	1246.7188327399565	307.56268472592006	326.2315905474358	627.7070260409705	183.75362880415872
COA-PWY	11558.867722789872	12080.953487851462	5949.534636871667	6153.438440669022	7815.78288184061	18499.243291103943	18789.198137536594	9957.775499921416	11345.562987191513	15656.118084459824	6247.1362709313735	19985.329888304	11175.030782880236	16009.61608589281	10539.158240920236	5818.022044708018	4849.553472638256	10354.63243297536	6623.487887904471	9327.355520469257	6038.909967791555	9642.943452111798	7711.539875869346	5867.527772988059	13048.297439855858	7834.488213084752	2724.002625120393	8787.813407994052	7563.241534755755	13152.447614273591	7290.528959117459	4821.702572499303	4774.3801701095035
COA-PWY-1	10554.490252090207	10669.463623301643	5497.100023407875	5749.3890624086625	7084.1736703770275	17046.909621648305	18241.05293228569	9518.704948867451	11084.214670255473	15092.839602434165	6038.697967664189	19653.35456598344	10843.220025049472	15482.537445752982	10341.766729609932	5415.829236618255	4705.947947069629	9934.827495486608	6209.1929976297415	8680.707756729385	5614.625363777117	8612.469175854669	7213.197059670276	5535.834705580895	11606.044672052378	7534.577712773016	2629.1169235006773	8276.083200152705	7195.840934907773	11720.675802522777	6848.373104003211	4668.740713556592	4361.217552936377
